Instance,m,n,LowerBound,Iterations,Runtime(s),Status
Inst_m15_n120_pi0.2_TF0.4_R0.4_1.txt,15,120,148.9,55,38.2888,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_10.txt,15,120,141.47,167,24.5858,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_2.txt,15,120,115.87,40,28.938,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_3.txt,15,120,142.04,1778,22.502,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_4.txt,15,120,163.74,34,26.074,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_5.txt,15,120,140.71,256,45.8482,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_6.txt,15,120,136.78,20,37.5959,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_7.txt,15,120,152.92,52,32.3,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_8.txt,15,120,165.9,85,29.9726,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.4_9.txt,15,120,172.59,7,35.2812,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_1.txt,15,120,138.59,172,37.367,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_10.txt,15,120,152.67,122,35.1838,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_2.txt,15,120,121.91,72,33.7202,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_3.txt,15,120,179.37,138,31.6249,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_4.txt,15,120,123.07,31,25.6419,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_5.txt,15,120,91.25,26,26.3831,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_6.txt,15,120,211.16,47,32.8744,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_7.txt,15,120,210.91,294,42.6413,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_8.txt,15,120,144.43,138,47.5631,Within1800
Inst_m15_n120_pi0.2_TF0.4_R0.6_9.txt,15,120,171.59,19,28.0554,Within1800
Inst_m15_n120_pi0.2_TF0.6_R0.4_1.txt,15,120,203.98,54,25.238,Within1800
Inst_m15_n120_pi0.2_TF0.6_R0.4_10.txt,15,120,125.71,120,39.7705,Within1800
Inst_m15_n120_pi0.2_TF0.6_R0.4_2.txt,15,120,166.94,118,27.8174,Within1800
Inst_m15_n120_pi0.2_TF0.6_R0.4_3.txt,15,120,144.52,2,38.2876,Within1800
Inst_m15_n120_pi0.2_TF0.6_R0.4_4.txt,15,120,180.67,31,28.4306,Within1800
