Instance,m,n,LowerBound,Iterations,Runtime(s),Status
Inst_m6_n30_pi0.2_TF0.4_R0.4_1.txt,6,30,42.99,14,0.3593,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_2.txt,6,30,87.25,45,0.3800,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_3.txt,6,30,102.55,2,0.3942,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_4.txt,6,30,77.69,3,0.5012,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_5.txt,6,30,83.36,1,0.7422,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_6.txt,6,30,144.39,4,0.4317,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_7.txt,6,30,71.50,0,0.4833,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_8.txt,6,30,67.69,16,0.4362,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_9.txt,6,30,99.34,51,0.4711,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.4_10.txt,6,30,87.06,16,0.3417,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_1.txt,6,30,60.53,0,0.4882,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_2.txt,6,30,110.32,2,0.4839,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_3.txt,6,30,80.29,3,0.4469,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_4.txt,6,30,55.43,1,0.4488,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_5.txt,6,30,49.40,73,0.4829,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_6.txt,6,30,83.70,30,0.4408,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_7.txt,6,30,111.38,9,0.4136,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_8.txt,6,30,159.16,93,0.3228,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_9.txt,6,30,114.95,21,0.3470,Within1800
Inst_m6_n30_pi0.2_TF0.4_R0.6_10.txt,6,30,82.68,5,0.3480,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_1.txt,6,30,76.03,116,0.3312,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_2.txt,6,30,99.35,560,0.2753,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_3.txt,6,30,126.70,39,0.4082,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_4.txt,6,30,94.85,14,0.4952,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_5.txt,6,30,92.11,148,0.2855,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_6.txt,6,30,84.24,183,0.2531,Within1800
Inst_m6_n30_pi0.2_TF0.6_R0.4_7.txt,6,30,84.46,0,0.3961,Within1800
