Instance,m,n,LowerBound,Iterations,Runtime(s),Status
Inst_m2_n10_pi0.2_TF0.4_R0.4_1.txt,2,10,85.03,6,0.0607,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_2.txt,2,10,35.38,401,0.0405,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_3.txt,2,10,128.21,85,0.0691,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_4.txt,2,10,93.11,1,0.0617,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_5.txt,2,10,199.26,52,0.0534,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_6.txt,2,10,154.45,110,0.0586,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_7.txt,2,10,105.67,10,0.0611,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_8.txt,2,10,156.23,436,0.0433,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_9.txt,2,10,74.37,47,0.0487,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.4_10.txt,2,10,234.42,8,0.0788,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_1.txt,2,10,125.37,57,0.0762,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_2.txt,2,10,69.99,335,0.0362,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_3.txt,2,10,126.90,10,0.0510,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_4.txt,2,10,110.18,10,0.0505,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_5.txt,2,10,125.68,6,0.0633,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_6.txt,2,10,49.18,12,0.0505,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_7.txt,2,10,107.97,70,0.0548,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_8.txt,2,10,121.37,58,0.0495,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_9.txt,2,10,72.74,312,0.0335,Within1800
Inst_m2_n10_pi0.2_TF0.4_R0.6_10.txt,2,10,73.30,438,0.0424,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_1.txt,2,10,1488.68,3,0.0782,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_2.txt,2,10,1458.31,2,0.0768,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_3.txt,2,10,762.84,38,0.0739,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_4.txt,2,10,255.27,26,0.0697,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_5.txt,2,10,932.91,50,0.0559,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_6.txt,2,10,1131.48,0,0.0482,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_7.txt,2,10,543.91,44,0.0666,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_8.txt,2,10,644.77,16,0.0590,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_9.txt,2,10,903.14,4,0.0429,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.4_10.txt,2,10,1173.55,23,0.0551,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.6_1.txt,2,10,1045.26,26,0.0523,Within1800
Inst_m2_n10_pi0.2_TF0.6_R0.6_2.txt,2,10,775.34,0,0.0644,Within1800
