Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_ALNS,AvgResult_ALNS,StdResult_ALNS,AvgTime_ALNS,SuccessRuns_ALNS,FailedRuns_ALNS,FirstError_ALNS
Inst_m15_n120_pi0.2_TF0.4_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,164.0200,164.9840,0.6815,21.6096,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,151.6700,151.6700,0.0000,21.6060,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,132.2500,133.3190,0.7709,21.6080,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,153.3200,153.4870,0.2159,21.6077,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,181.2800,181.3140,0.1075,21.6079,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,152.4300,152.8930,0.3941,21.6094,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,149.7600,150.1310,0.3857,21.6074,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,171.7300,172.2560,0.4889,21.6096,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,182.9600,183.7660,0.6221,21.6087,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,188.1100,189.0890,0.4788,21.6076,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,156.6800,159.8980,2.0874,21.6075,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,167.1900,167.7090,0.4293,21.6091,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,130.9600,131.0940,0.2825,21.6081,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,196.4300,196.4300,0.0000,21.6067,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,133.1600,133.2230,0.0686,21.6072,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,100.6100,101.3490,0.3510,21.6082,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,225.0200,225.3840,0.6352,21.6070,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,228.2500,228.5780,0.1829,21.6076,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,159.9000,160.4100,0.5403,21.6069,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_9.txt,15,120,120×15,21600.0000,21.6000,10,187.7300,187.7970,0.1095,21.6073,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,219.2900,219.4650,0.1208,21.6076,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,142.3200,143.5460,0.6997,21.6081,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,181.2900,181.3530,0.1253,21.6071,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,163.1700,163.6570,0.3548,21.6090,10,0,
