Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_DG-ALNS,AvgResult_DG-ALNS,StdResult_DG-ALNS,AvgTime_DG-ALNS,SuccessRuns_DG-ALNS,FailedRuns_DG-ALNS,FirstError_DG-ALNS
Inst_m15_n120_pi0.2_TF0.4_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,161.7500,162.5810,0.5317,21.8242,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,151.6700,151.6700,0.0000,21.8184,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,129.7300,130.1050,0.3780,21.8246,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,153.3200,153.3200,0.0000,21.8293,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,181.2800,182.2060,0.8698,21.8237,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,150.3100,150.7430,0.2234,21.8248,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,149.3300,149.3990,0.0698,21.8279,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,171.6100,171.7410,0.1105,21.8205,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,180.3900,181.1220,0.4321,21.8262,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,187.1800,187.3540,0.3787,21.8206,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,155.8500,156.2260,0.5347,21.8165,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,166.8100,167.3850,0.4077,21.8167,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,130.9600,131.0270,0.2119,21.8245,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,196.4300,196.4300,0.0000,21.8152,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,133.1200,133.1440,0.0207,21.8181,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,100.2700,100.3150,0.0488,21.8192,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,225.0200,225.3820,0.7476,21.8155,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,227.4100,227.9110,0.3180,21.8119,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,159.4100,159.9080,0.5761,21.8154,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_9.txt,15,120,120×15,21600.0000,21.6000,10,187.7300,187.7300,0.0000,21.8236,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,219.2900,219.2900,0.0000,21.8073,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,140.0000,141.3890,0.6478,21.8122,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,181.2900,181.2900,0.0000,21.8168,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,161.7900,162.2640,0.3686,21.8145,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,200.8300,201.9720,0.6336,21.8146,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,164.4400,164.8060,0.2695,21.8129,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,208.9400,209.8910,0.5472,21.8169,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,158.8700,161.0760,1.3253,21.8126,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,148.1900,148.6450,0.2872,21.8108,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,196.4600,196.4600,0.0000,21.8115,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,121.8400,122.0940,0.2359,21.8081,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,143.9300,144.4590,0.2692,21.7976,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,174.0300,174.4120,0.3271,21.8092,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,217.3900,218.9730,1.0852,21.8069,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,154.0700,154.1830,0.0979,21.8096,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,185.7900,186.0460,0.3488,21.8079,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,147.9100,147.9100,0.0000,21.8054,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,161.8300,163.3540,1.5187,21.8037,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,176.4300,177.4410,0.7441,21.7996,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_9.txt,15,120,120×15,21600.0000,21.6000,10,180.0600,180.0600,0.0000,21.8022,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,413.7000,413.7000,0.0000,21.8026,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,424.3200,424.6260,0.3158,21.8085,10,0,
