Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_DG-ALNS,AvgResult_DG-ALNS,StdResult_DG-ALNS,AvgTime_DG-ALNS,SuccessRuns_DG-ALNS,FailedRuns_DG-ALNS,FirstError_DG-ALNS
Inst_m6_n30_pi0.2_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,45.1300,45.1300,0.0000,2.1671,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,91.7600,91.7600,0.0000,2.1793,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,93.2900,94.5580,1.6370,2.1676,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,109.1200,109.6040,0.2049,2.1676,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,81.2000,81.3650,0.1739,2.1674,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,86.0400,87.1720,1.5362,2.1678,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,149.0200,149.0930,0.2170,2.1672,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,75.2100,75.2100,0.0000,2.1672,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,70.2700,70.3600,0.1625,2.1673,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,102.2500,102.2500,0.0000,2.1669,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,65.0800,65.0800,0.0000,2.1677,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,88.2000,88.2000,0.0000,2.1668,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,113.3000,113.3360,0.0126,2.1669,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,83.9600,83.9600,0.0000,2.1684,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,59.2500,59.2580,0.0193,2.1675,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,51.2400,51.2400,0.0000,2.1679,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,91.2900,91.6570,0.3937,2.1667,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,118.7600,118.7600,0.0000,2.1671,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,166.0500,166.0500,0.0000,2.1674,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,122.9600,122.9600,0.0000,2.1675,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,81.0600,81.7360,0.9214,2.1666,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,105.1100,106.2890,0.4423,2.1657,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,104.5800,104.5800,0.0000,2.1658,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,132.0800,132.6420,0.8269,2.1657,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,99.3300,100.5990,1.2383,2.1663,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,93.5800,93.5800,0.0000,2.1690,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,86.5400,86.5400,0.0000,2.1675,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,87.1700,87.1700,0.0000,2.1686,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,107.0100,107.0100,0.0000,2.1658,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,81.4100,81.4100,0.0000,2.1690,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,141.5900,141.5900,0.0000,2.1674,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,172.5300,172.5300,0.0000,2.1700,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,114.7000,116.2640,1.3880,2.1688,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,76.9000,76.9000,0.0000,2.1688,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,187.1000,187.2160,0.0956,2.1672,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,114.3900,114.3900,0.0000,2.1679,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,171.3500,172.4440,1.3254,2.1685,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,78.0500,78.0500,0.0000,2.1670,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,100.9000,100.9000,0.0000,2.1674,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,132.4600,133.4340,1.1562,2.1682,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,288.5500,288.5500,0.0000,2.1658,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,358.0400,358.0400,0.0000,2.1655,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,236.6300,236.6300,0.0000,2.1656,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,263.5400,264.8270,1.7776,2.1664,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,256.6200,256.6200,0.0000,2.1656,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,216.1600,216.1600,0.0000,2.1665,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,125.4800,125.4800,0.0000,2.1660,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,229.8400,229.8400,0.0000,2.1656,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,166.9900,166.9900,0.0000,2.1658,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,333.6100,336.0470,1.3290,2.1658,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,170.5100,170.5100,0.0000,2.1662,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,137.2200,137.2200,0.0000,2.1661,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,152.6700,153.2480,0.8164,2.1660,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,355.1300,355.1300,0.0000,2.1655,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,162.0000,162.0000,0.0000,2.1660,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,174.3300,174.3880,0.1834,2.1656,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,383.1500,384.6720,0.9470,2.1654,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,324.5000,324.5000,0.0000,2.1658,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,255.5100,256.4590,1.1138,2.1660,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,151.7900,151.7900,0.0000,2.1662,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,173.5400,173.5400,0.0000,2.1657,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,109.8300,109.8300,0.0000,2.1655,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,127.4300,127.4300,0.0000,2.1656,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,213.0300,213.0940,0.1349,2.1660,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,372.0200,372.0200,0.0000,2.1658,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,332.9600,333.0380,0.2467,2.1655,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,269.4100,269.4100,0.0000,2.1656,10,0,
