Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m15_n120_pi0.2_TF0.4_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,169.2700,173.8880,2.7803,21.6097,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,152.4100,157.0840,3.0899,21.6088,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,137.3000,142.4080,2.0505,21.6079,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,154.3100,156.2150,1.1626,21.6064,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,181.2800,183.1980,0.7119,21.6094,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,156.5200,159.1080,2.2620,21.6076,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,157.7900,160.5980,1.9544,21.6101,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,174.1800,177.6960,2.7366,21.6094,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,185.6700,191.8020,5.0367,21.6075,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,192.5400,196.5110,3.4848,21.6058,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,161.0300,165.6790,2.6123,21.6080,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,167.3700,170.7210,2.5799,21.6076,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,131.0000,132.7420,1.4870,21.6101,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,197.1600,198.3410,1.5339,21.6071,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,137.1100,139.5710,1.7766,21.6087,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,102.1500,105.1670,2.2577,21.6068,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,225.0200,227.3470,1.7916,21.6101,10,0,
