Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m6_n30_pi0.2_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,45.7800,48.1360,3.7484,2.1642,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,91.7600,99.9680,5.6758,2.1635,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,99.6600,101.8640,1.5368,2.1632,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,110.7100,115.6700,3.8372,2.1627,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,82.2100,86.5920,2.7684,2.1653,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,89.2800,96.8560,4.5584,2.1646,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,149.7100,154.1650,3.9977,2.1633,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,75.7100,77.2020,1.7056,2.1649,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,70.2700,72.6470,2.4149,2.1653,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,102.2500,103.3880,0.9853,2.1643,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,66.2900,69.0170,2.1438,2.1645,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,88.2000,89.3220,1.0977,2.1626,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,113.3400,115.1050,1.9815,2.1644,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,84.8000,85.7790,0.9480,2.1636,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,60.4900,61.4370,1.0684,2.1665,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,51.2400,51.4750,0.7431,2.1636,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,92.5300,95.9860,2.9517,2.1639,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,119.2400,121.1520,2.6231,2.1635,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,166.0500,169.2390,3.9631,2.1621,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,122.9600,125.3840,2.8213,2.1650,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,81.2300,89.4980,7.0370,2.1631,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,105.1100,112.7670,5.0384,2.1632,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,104.5800,111.3970,7.4839,2.1624,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,134.6600,144.3320,9.2513,2.1636,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,99.9100,104.7680,6.2936,2.1641,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,93.5800,97.0400,2.3065,2.1628,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,88.1200,99.4300,11.9231,2.1636,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,87.1700,90.2980,1.7208,2.1640,10,0,
