Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m2_n10_pi0.2_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,108.4400,108.9520,1.6191,0.2424,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,254.0700,260.6450,15.5876,0.2420,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,37.3000,37.3000,0.0000,0.2428,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,132.8100,134.5850,5.6130,0.2426,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,102.5100,109.6100,18.4418,0.2419,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,260.0300,260.0300,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,171.6300,171.6300,0.0000,0.2415,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,112.6200,132.1140,16.7778,0.2425,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,156.2300,156.2300,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,79.0700,79.0700,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,125.3700,153.3300,58.9449,0.2422,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,86.8800,86.8800,0.0000,0.2427,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,69.9900,75.2500,11.0891,0.2426,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,134.0500,134.0500,0.0000,0.2426,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,158.7800,172.3700,30.6852,0.2422,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,128.9300,129.1660,0.4975,0.2429,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,49.1800,55.1080,12.4973,0.2430,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,143.4700,157.9800,10.0675,0.2419,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,123.0500,126.3500,10.4355,0.2421,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,72.9500,72.9500,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,1496.0400,1497.4950,1.5337,0.2422,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,1335.7900,1356.1820,46.3375,0.2423,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,1495.8700,1506.1180,23.9568,0.2421,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,855.6300,863.8520,21.2708,0.2419,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,312.2800,312.2800,0.0000,0.2425,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,957.7500,958.6260,2.7702,0.2415,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,1162.7500,1162.7500,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,543.9100,543.9100,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,681.5500,687.1070,17.5728,0.2413,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,903.1400,983.0600,42.1215,0.2419,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,1045.2600,1055.9840,23.3040,0.2426,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,334.9400,384.7750,68.7935,0.2422,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,784.9500,786.7060,3.7020,0.2422,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,1101.7700,1101.7700,0.0000,0.2414,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,133.6200,133.6200,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,29.4400,33.7540,9.6076,0.2419,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,753.9100,778.3370,18.4007,0.2418,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,625.0500,625.0500,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,418.6000,424.5020,18.6638,0.2423,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,571.7900,571.7900,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,358.0100,368.8570,15.8383,0.2417,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,277.3600,277.3600,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,334.5300,334.5300,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,296.6400,296.6400,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,198.5100,198.5100,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,465.4300,468.0570,8.3073,0.2427,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,103.9400,103.9400,0.0000,0.2418,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,155.1700,170.3140,47.1318,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,155.3700,155.3700,0.0000,0.2422,10,0,
Inst_m2_n10_pi0.5_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,692.4500,692.4500,0.0000,0.2416,10,0,
