Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_PSO,AvgResult_PSO,StdResult_PSO,AvgTime_PSO,SuccessRuns_PSO,FailedRuns_PSO,FirstError_PSO
Inst_m15_n120_pi0.2_TF0.4_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,171.8000,180.9520,6.4494,21.6303,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,152.2300,152.2300,0.0000,21.6307,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,141.8400,146.6770,4.1311,21.6283,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,154.6300,156.2010,0.9892,21.6207,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,183.3300,183.3300,0.0000,21.6276,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,153.2300,156.2760,2.0505,21.6245,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,156.7600,160.0040,2.2050,21.6234,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,175.9800,177.5510,2.1733,21.6215,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,187.4300,193.2280,3.1545,21.6233,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,189.3300,189.9920,0.7430,21.6182,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,162.6200,167.9160,3.1934,21.6219,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,167.3900,167.8950,1.0102,21.6176,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,130.9600,130.9600,0.0000,21.6263,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,196.4300,196.4940,0.2024,21.6117,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,135.4600,137.8910,1.5319,21.6246,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,101.3300,103.2800,1.6150,21.6212,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,227.5600,227.5600,0.0000,21.6214,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,228.6900,229.1430,0.7698,21.6250,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,159.8000,163.6830,3.5813,21.6341,10,0,
Inst_m15_n120_pi0.2_TF0.4_R0.6_9.txt,15,120,120×15,21600.0000,21.6000,10,187.7300,188.1500,0.6362,21.6145,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,220.2100,220.2240,0.0443,21.6186,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,143.7400,147.3640,2.8728,21.6173,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,181.2900,182.7710,1.0938,21.6220,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,162.5300,163.5960,1.0517,21.6238,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,211.2100,213.8590,3.0818,21.6218,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,165.2500,167.8790,1.9295,21.6200,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,220.0800,224.0390,2.5541,21.6207,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,175.2000,186.2600,5.9781,21.6189,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,150.6400,156.5010,4.6040,21.6294,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,196.9300,197.0000,0.2214,21.6231,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,124.7900,128.2540,2.3101,21.6219,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,146.0900,147.4100,1.5696,21.6224,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,178.1500,181.0870,2.0183,21.6271,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,220.5100,226.8660,2.9466,21.6223,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,156.2500,157.7950,1.9528,21.6161,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,186.7200,189.6860,2.5582,21.6191,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,149.9400,153.1340,1.5751,21.6245,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,167.7700,173.1980,3.3881,21.6287,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,185.5200,198.3150,7.5186,21.6241,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_9.txt,15,120,120×15,21600.0000,21.6000,10,192.2500,199.5830,4.9011,21.6145,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,417.0400,417.0400,0.0000,21.6196,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,440.6500,447.0830,3.7696,21.6287,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,418.9100,429.7590,7.3545,21.6167,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,433.1700,433.1700,0.0000,21.6232,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,491.9600,491.9600,0.0000,21.6314,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,399.2200,410.8620,7.4013,21.6227,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,306.1500,310.5480,2.7129,21.6269,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,488.0100,504.3790,10.1031,21.6202,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,517.8600,531.0570,13.3235,21.6188,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,437.1600,441.8110,3.2741,21.6223,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,397.0700,397.0700,0.0000,21.6185,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,583.2100,605.3510,16.7797,21.6148,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,433.4200,455.4030,13.8424,21.6214,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,496.8000,496.8000,0.0000,21.6242,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,328.9400,328.9400,0.0000,21.6312,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,433.6100,445.2150,8.2188,21.6194,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,425.7200,428.7600,2.1350,21.6199,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,477.4900,478.6180,1.5396,21.6196,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,586.6100,602.0190,11.8101,21.6173,10,0,
Inst_m15_n120_pi0.5_TF0.4_R0.6_9.txt,15,120,120×15,21600.0000,21.6000,10,464.3700,468.5000,4.0435,21.6245,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_1.txt,15,120,120×15,21600.0000,21.6000,10,549.3600,583.7630,22.7527,21.6193,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_10.txt,15,120,120×15,21600.0000,21.6000,10,391.4600,392.1980,1.5558,21.6150,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_2.txt,15,120,120×15,21600.0000,21.6000,10,336.5400,347.7550,4.9399,21.6308,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_3.txt,15,120,120×15,21600.0000,21.6000,10,454.8000,462.9080,7.1922,21.6272,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_4.txt,15,120,120×15,21600.0000,21.6000,10,312.8200,325.8090,9.9271,21.6229,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_5.txt,15,120,120×15,21600.0000,21.6000,10,510.8400,522.8170,7.0824,21.6213,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,328.5300,358.3780,12.2447,21.6212,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,581.8500,599.9240,11.0899,21.6206,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,278.2400,286.7610,6.9503,21.6234,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,501.2500,511.4500,7.8672,21.6210,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,325.5900,333.7360,4.2863,21.6334,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,411.4500,417.7230,6.2172,21.6308,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,380.7500,392.0770,12.3898,21.6216,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,392.9800,399.6320,5.2326,21.6203,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,404.7400,414.8180,8.3385,21.6208,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,379.2600,386.2430,4.3688,21.6186,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,452.5400,458.4980,3.6554,21.6269,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,492.3300,502.1530,6.3981,21.6236,10,0,
Inst_m15_n120_pi0.5_TF0.6_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,643.3800,649.2550,6.3130,21.6217,10,0,
