Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_PSO,AvgResult_PSO,StdResult_PSO,AvgTime_PSO,SuccessRuns_PSO,FailedRuns_PSO,FirstError_PSO
Inst_m2_n10_pi0.2_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,108.4400,108.4400,0.0000,0.2426,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,254.0700,256.9750,5.7205,0.2440,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,37.3000,37.3000,0.0000,0.2429,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,132.8100,132.8100,0.0000,0.2427,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,102.5100,102.5100,0.0000,0.2439,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,260.0300,260.0300,0.0000,0.2426,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,171.6300,171.6300,0.0000,0.2432,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,112.6200,119.1180,13.6990,0.2428,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,156.2300,156.2300,0.0000,0.2433,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,79.0700,79.0700,0.0000,0.2428,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,125.3700,126.6010,3.8928,0.2423,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,86.8800,86.8800,0.0000,0.2447,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,69.9900,69.9900,0.0000,0.2439,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,134.0500,134.6510,1.9005,0.2437,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,158.7800,167.9060,28.8589,0.2435,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,128.9300,128.9300,0.0000,0.2431,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,49.1800,49.1800,0.0000,0.2439,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,143.4700,145.6800,6.9886,0.2425,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,123.0500,123.0500,0.0000,0.2414,10,0,
Inst_m2_n10_pi0.2_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,72.9500,72.9500,0.0000,0.2433,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,1496.0400,1512.5540,31.7768,0.2422,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,1335.7900,1336.8140,2.1588,0.2425,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,1495.8700,1519.0980,46.3841,0.2449,10,0,
Inst_m2_n10_pi0.2_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,855.6300,876.1920,33.1080,0.2428,10,0,
