Instance,m,n,pi,TF,R,ID,Model,TimeLimit,CPUTime,RunTime,Status,OFV,BestBound,GapPercent
Inst_m2_n10_pi0.2_TF0.4_R0.4_1.txt,2,10,0,0,0,0,LO,1800,798725.61,252.22,2,108.44,108.44,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_10.txt,2,10,0,0,0,0,LO,1800,798771.53,297.99,2,254.07,254.07,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_2.txt,2,10,0,0,0,0,LO,1800,798479.86,6.33,2,37.3,37.3,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_3.txt,2,10,0,0,0,0,LO,1800,798478.56,5.01,2,132.81,132.81,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_4.txt,2,10,0,0,0,0,LO,1800,798828.55,355.25,2,102.51,102.51,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_5.txt,2,10,0,0,0,0,LO,1800,798549.33,75.79,2,260.03,260.03,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_6.txt,2,10,0,0,0,0,LO,1800,798569.86,96.32,2,171.63,171.63,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_7.txt,2,10,0,0,0,0,LO,1800,798543.34,69.95,2,112.62,112.62,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_8.txt,2,10,0,0,0,0,LO,1800,798508.39,34.87,2,156.23,156.23,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_9.txt,2,10,0,0,0,0,LO,1800,798522.11,48.55,2,79.07,79.07,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_1.txt,2,10,0,0,0,0,LO,1800,798480.31,6.77,2,125.37,125.36,0.008
Inst_m2_n10_pi0.2_TF0.4_R0.6_10.txt,2,10,0,0,0,0,LO,1800,798493.02,19.66,2,86.88,86.88,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_2.txt,2,10,0,0,0,0,LO,1800,798476.56,3.03,2,69.99,69.99,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_3.txt,2,10,0,0,0,0,LO,1800,798480,6.54,2,134.05,134.05,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_4.txt,2,10,0,0,0,0,LO,1800,798492.72,19.17,2,158.78,158.78,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_5.txt,2,10,0,0,0,0,LO,1800,798481.44,8.07,2,128.93,128.93,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_6.txt,2,10,0,0,0,0,LO,1800,798579.73,106.17,2,49.18,49.18,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_7.txt,2,10,0,0,0,0,LO,1800,798563.05,89.5,2,143.47,143.47,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_8.txt,2,10,0,0,0,0,LO,1800,798485.31,11.91,2,123.05,123.05,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_9.txt,2,10,0,0,0,0,LO,1800,798474.45,0.9,2,72.95,72.95,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_1.txt,2,10,0,0,0,0,LO,1800,800020.86,1547.4,2,1496.04,1495.93,0.0074
Inst_m2_n10_pi0.2_TF0.6_R0.4_10.txt,2,10,0,0,0,0,LO,1800,798980.84,507.44,2,1335.79,1335.7001,0.0067
Inst_m2_n10_pi0.2_TF0.6_R0.4_2.txt,2,10,0,0,0,0,LO,1800,799732.45,1259.05,2,1495.87,1495.8493,0.0014
Inst_m2_n10_pi0.2_TF0.6_R0.4_3.txt,2,10,0,0,0,0,LO,1800,798980.34,507,2,855.63,855.63,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_4.txt,2,10,0,0,0,0,LO,1800,798729.97,255.47,2,312.28,312.28,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_5.txt,2,10,0,0,0,0,LO,1800,799363.88,887.16,2,957.75,957.75,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_6.txt,2,10,0,0,0,0,LO,1800,798842.36,363.33,2,1162.75,1162.75,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_7.txt,2,10,0,0,0,0,LO,1800,798554.33,73.69,2,543.91,543.91,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_8.txt,2,10,0,0,0,0,LO,1800,798658.64,177.2,2,681.55,681.55,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_9.txt,2,10,0,0,0,0,LO,1800,798778.75,296.21,2,903.14,903.05,0.01
Inst_m2_n10_pi0.2_TF0.6_R0.6_1.txt,2,10,0,0,0,0,LO,1800,799235.83,752.97,2,1045.26,1045.26,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_10.txt,2,10,0,0,0,0,LO,1800,798540.41,53.61,2,334.94,334.94,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_2.txt,2,10,0,0,0,0,LO,1800,798506.88,13.07,2,784.95,784.95,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_3.txt,2,10,0,0,0,0,LO,1800,798525.45,30.66,2,1101.77,1101.77,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_4.txt,2,10,0,0,0,0,LO,1800,798521.97,14.42,2,133.62,133.62,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_5.txt,2,10,0,0,0,0,LO,1800,798512.45,2.88,2,29.44,29.44,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_6.txt,2,10,0,0,0,0,LO,1800,798619.61,105.89,2,753.91,753.91,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_7.txt,2,10,0,0,0,0,LO,1800,798528.78,4.53,2,625.05,625.05,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_8.txt,2,10,0,0,0,0,LO,1800,798613.56,88.06,2,418.6,418.6,0
Inst_m2_n10_pi0.2_TF0.6_R0.6_9.txt,2,10,0,0,0,0,LO,1800,798779.22,253.71,2,571.79,571.79,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_1.txt,2,10,0,0,0,0,LO,1800,798636.5,106.83,2,358.01,358.01,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_10.txt,2,10,0,0,0,0,LO,1800,798544.98,3.13,2,277.36,277.36,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_2.txt,2,10,0,0,0,0,LO,1800,798600.97,56.42,2,334.53,334.53,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_3.txt,2,10,0,0,0,0,LO,1800,798562.72,15.84,2,296.64,296.64,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_4.txt,2,10,0,0,0,0,LO,1800,798569.17,19.47,2,198.51,198.51,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_5.txt,2,10,0,0,0,0,LO,1800,798667.86,112.18,2,465.43,465.4,0.0064
Inst_m2_n10_pi0.5_TF0.4_R0.4_6.txt,2,10,0,0,0,0,LO,1800,798582.73,18.35,2,103.94,103.94,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_7.txt,2,10,0,0,0,0,LO,1800,798651.86,86.66,2,155.17,155.17,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_8.txt,2,10,0,0,0,0,LO,1800,798570.77,0.76,2,155.37,155.37,0
Inst_m2_n10_pi0.5_TF0.4_R0.4_9.txt,2,10,0,0,0,0,LO,1800,798803.48,233.49,2,692.45,692.4356,0.0021
Inst_m2_n10_pi0.5_TF0.4_R0.6_1.txt,2,10,0,0,0,0,LO,1800,798578.55,6.82,2,141.64,141.64,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_10.txt,2,10,0,0,0,0,LO,1800,798581.08,1.79,2,198.1,198.1,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_2.txt,2,10,0,0,0,0,LO,1800,798601.08,20.71,2,159.75,159.75,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_3.txt,2,10,0,0,0,0,LO,1800,798593.61,11.97,2,143.75,143.75,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_4.txt,2,10,0,0,0,0,LO,1800,798590.22,6.4,2,280.46,280.46,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_5.txt,2,10,0,0,0,0,LO,1800,798773.38,181.88,2,276.88,276.88,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_6.txt,2,10,0,0,0,0,LO,1800,798603.86,9.91,2,511.58,511.58,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_7.txt,2,10,0,0,0,0,LO,1800,798685.75,82.96,2,283.28,283.28,0
Inst_m2_n10_pi0.5_TF0.4_R0.6_8.txt,2,10,0,0,0,0,LO,1800,798742.48,139.32,2,526.23,526.23,0
