Instance,m,n,pi,TF,R,ID,Model,TimeLimit,CPUTime,RunTime,Status,OFV,BestBound,GapPercent
Inst_m2_n10_pi0.2_TF0.4_R0.4_1.txt,2,10,0.2,0.4,0.4,0,NW,1800,736373.84,331.8,2,108.44,108.44,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_10.txt,2,10,0.2,0.4,0.4,0,NW,1800,736252.88,210.86,2,254.07,254.07,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_2.txt,2,10,0.2,0.4,0.4,0,NW,1800,736049.3,7.26,2,37.3,37.3,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_3.txt,2,10,0.2,0.4,0.4,0,NW,1800,736046.11,4.07,2,132.81,132.81,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_4.txt,2,10,0.2,0.4,0.4,0,NW,1800,736284.58,242.55,2,102.51,102.51,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_5.txt,2,10,0.2,0.4,0.4,0,NW,1800,736101.53,59.52,2,260.03,260.03,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_6.txt,2,10,0.2,0.4,0.4,0,NW,1800,736137.7,95.67,2,171.63,171.63,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_7.txt,2,10,0.2,0.4,0.4,0,NW,1800,736118.2,76.17,2,112.62,112.62,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_8.txt,2,10,0.2,0.4,0.4,0,NW,1800,736071.47,29.44,2,156.23,156.23,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_9.txt,2,10,0.2,0.4,0.4,0,NW,1800,736086.2,44.18,2,79.07,79.07,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_1.txt,2,10,0.2,0.4,0.6,0,NW,1800,736048.47,6.44,2,125.37,125.37,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_10.txt,2,10,0.2,0.4,0.6,0,NW,1800,736059.38,17.34,2,86.88,86.88,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_2.txt,2,10,0.2,0.4,0.6,0,NW,1800,736047.42,5.4,2,69.99,69.99,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_3.txt,2,10,0.2,0.4,0.6,0,NW,1800,736055.08,13.02,2,134.05,134.05,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_4.txt,2,10,0.2,0.4,0.6,0,NW,1800,736079.41,37.4,2,158.78,158.78,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_5.txt,2,10,0.2,0.4,0.6,0,NW,1800,736061.25,19.21,2,128.93,128.93,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_6.txt,2,10,0.2,0.4,0.6,0,NW,1800,736115.44,73.42,2,49.18,49.18,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_7.txt,2,10,0.2,0.4,0.6,0,NW,1800,736123.44,81.45,2,143.47,143.47,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_8.txt,2,10,0.2,0.4,0.6,0,NW,1800,736065.63,23.6,2,123.05,123.05,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_9.txt,2,10,0.2,0.4,0.6,0,NW,1800,736043.48,1.45,2,72.95,72.3,0.899
Inst_m2_n10_pi0.2_TF0.6_R0.4_1.txt,2,10,0.2,0.6,0.4,0,NW,1800,737842.05,1800.05,1,1496.04,838.81,78.3527
Inst_m2_n10_pi0.2_TF0.6_R0.4_10.txt,2,10,0.2,0.6,0.4,0,NW,1800,736867.11,825.12,2,1335.79,1335.77,0.0015
Inst_m2_n10_pi0.2_TF0.6_R0.4_2.txt,2,10,0.2,0.6,0.4,0,NW,1800,737347.86,1305.84,2,1495.87,1495.8464,0.0016
Inst_m2_n10_pi0.2_TF0.6_R0.4_3.txt,2,10,0.2,0.6,0.4,0,NW,1800,736403.08,361.05,2,855.63,855.5453,0.0099
Inst_m2_n10_pi0.2_TF0.6_R0.4_4.txt,2,10,0.2,0.6,0.4,0,NW,1800,736250.83,207.32,2,312.28,312.28,0
Inst_m2_n10_pi0.2_TF0.6_R0.4_5.txt,2,10,0.2,0.6,0.4,0,NW,1800,737323.97,1277.85,2,957.75,957.66,0.0094
Inst_m2_n10_pi0.2_TF0.6_R0.4_6.txt,2,10,0.2,0.6,0.4,0,NW,1800,736302.36,254.92,2,1162.75,1162.6573,0.008
