Instance,m,n,pi,TF,R,ID,Model,TimeLimit,CPUTime,RunTime,Status,OFV,BestBound,GapPercent
Inst_m2_n10_pi0.2_TF0.4_R0.4_1.txt,2,10,0.2,0.4,0.4,0,PD,1800,707753.89,7.22,2,108.44,108.44,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_10.txt,2,10,0.2,0.4,0.4,0,PD,1800,707755.94,9.26,2,254.07,254.07,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_2.txt,2,10,0.2,0.4,0.4,0,PD,1800,707748.08,1.41,2,37.3,37.3,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_3.txt,2,10,0.2,0.4,0.4,0,PD,1800,707746.92,0.25,2,132.81,132.81,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_4.txt,2,10,0.2,0.4,0.4,0,PD,1800,707754.17,7.5,2,102.51,102.51,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_5.txt,2,10,0.2,0.4,0.4,0,PD,1800,707747.83,1.16,2,260.03,260.03,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_6.txt,2,10,0.2,0.4,0.4,0,PD,1800,707752.7,6.03,2,171.63,171.63,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_7.txt,2,10,0.2,0.4,0.4,0,PD,1800,707749.77,3.09,2,112.62,112.62,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_8.txt,2,10,0.2,0.4,0.4,0,PD,1800,707749.14,2.46,2,156.23,156.23,0
Inst_m2_n10_pi0.2_TF0.4_R0.4_9.txt,2,10,0.2,0.4,0.4,0,PD,1800,707747.97,1.29,2,79.07,79.07,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_1.txt,2,10,0.2,0.4,0.6,0,PD,1800,707749.27,2.59,2,125.37,125.37,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_10.txt,2,10,0.2,0.4,0.6,0,PD,1800,707749.7,3.02,2,86.88,86.88,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_2.txt,2,10,0.2,0.4,0.6,0,PD,1800,707748.42,1.75,2,69.99,69.99,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_3.txt,2,10,0.2,0.4,0.6,0,PD,1800,707748.67,2,2,134.05,134.05,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_4.txt,2,10,0.2,0.4,0.6,0,PD,1800,707749.86,3.19,2,158.78,158.78,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_5.txt,2,10,0.2,0.4,0.6,0,PD,1800,707748.5,1.83,2,128.93,128.93,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_6.txt,2,10,0.2,0.4,0.6,0,PD,1800,707748.64,1.96,2,49.18,49.18,0
Inst_m2_n10_pi0.2_TF0.4_R0.6_7.txt,2,10,0.2,0.4,0.6,0,PD,1800,707751.77,5.09,2,143.47,143.47,0
