Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,D3,$-D_3$,344.667,62.3025,343.31,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,D3,$-D_3$,240.798,62.2609,240.33,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,D3,$-D_3$,380.08,62.2673,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,D3,$-D_3$,446.087,62.2876,445.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,D3,$-D_3$,301.028,62.2456,299.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,D3,$-D_3$,332.354,62.2555,330.87,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,D3,$-D_3$,355.011,62.28,354.55,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,D3,$-D_3$,557.38,62.2338,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,D3,$-D_3$,359.942,62.2338,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,D3,$-D_3$,355.246,62.263,354.22,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,D3,$-D_3$,251.16,62.2639,250.75,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,D3,$-D_3$,261.411,62.2581,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,D3,$-D_3$,279.661,62.2766,277.27,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,D3,$-D_3$,272.745,62.299,271.87,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,D3,$-D_3$,399.967,62.2508,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,D3,$-D_3$,266.492,62.2615,266.03,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,D3,$-D_3$,433.615,62.2299,432.33,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,D3,$-D_3$,301.39,62.2362,300.72,10
