Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,I5,$-I_5$,344.972,62.234,342,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,I5,$-I_5$,240.879,62.1922,240.41,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,I5,$-I_5$,379.208,62.187,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,I5,$-I_5$,445.736,62.2406,445.09,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,I5,$-I_5$,300.454,62.2205,299.1,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,I5,$-I_5$,331.625,62.1753,330.62,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,I5,$-I_5$,355.034,62.2329,353.05,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,I5,$-I_5$,557.38,62.1956,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,I5,$-I_5$,359.897,62.2085,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,I5,$-I_5$,355.177,62.1965,354.5,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,I5,$-I_5$,251.182,62.2551,250.62,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,I5,$-I_5$,261.638,62.223,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,I5,$-I_5$,280.22,62.2107,278.4,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,I5,$-I_5$,272.396,62.2269,271.87,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,I5,$-I_5$,399.947,62.2443,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,I5,$-I_5$,266.574,62.2382,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,I5,$-I_5$,433.803,62.2384,432.23,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,I5,$-I_5$,301.453,62.1946,300.8,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,I5,$-I_5$,351.151,62.2358,347.35,10
