Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,FULL,DG-ALNS,346.552,62.3913,344.34,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,FULL,DG-ALNS,240.734,62.3112,239.97,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,FULL,DG-ALNS,379.613,62.3069,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,FULL,DG-ALNS,445.919,62.3185,445.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,FULL,DG-ALNS,300.398,62.3107,298.9,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,FULL,DG-ALNS,331.473,62.3073,330.56,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,FULL,DG-ALNS,354.745,62.3569,353.14,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,FULL,DG-ALNS,557.38,62.3773,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,FULL,DG-ALNS,360.038,62.3554,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,FULL,DG-ALNS,355.159,62.329,354.22,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,FULL,DG-ALNS,251.291,62.3436,250.62,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,FULL,DG-ALNS,261.628,62.324,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,FULL,DG-ALNS,279.234,62.3532,277.24,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,FULL,DG-ALNS,272.717,62.3095,272.01,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,FULL,DG-ALNS,399.943,62.3334,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,FULL,DG-ALNS,266.928,62.3141,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,FULL,DG-ALNS,433.539,62.3237,432.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,FULL,DG-ALNS,301.111,62.3098,300.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,FULL,DG-ALNS,350.682,62.3539,347.5,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,FULL,DG-ALNS,344.36,62.3319,343.06,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,FULL,DG-ALNS,347.868,62.3567,347.5,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,FULL,DG-ALNS,336.993,62.2656,336.38,10
