Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,Hinit,$-H_{init}$,349.859,62.2868,343.72,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,Hinit,$-H_{init}$,241.557,62.2456,240.54,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,Hinit,$-H_{init}$,380.563,62.2791,379.42,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,Hinit,$-H_{init}$,447.124,62.2918,445.34,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,Hinit,$-H_{init}$,303.458,62.2679,299.78,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,Hinit,$-H_{init}$,332.649,62.2371,331.48,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,Hinit,$-H_{init}$,355.823,62.2667,353.8,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,Hinit,$-H_{init}$,558.543,62.2325,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,Hinit,$-H_{init}$,360.358,62.243,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,Hinit,$-H_{init}$,358.756,62.2665,354.95,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,Hinit,$-H_{init}$,251.844,62.2607,251.16,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,Hinit,$-H_{init}$,263.127,62.2306,261.79,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,Hinit,$-H_{init}$,280.583,62.2438,278.42,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,Hinit,$-H_{init}$,273.382,62.263,272.1,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,Hinit,$-H_{init}$,401.633,62.2385,399.71,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,Hinit,$-H_{init}$,270.576,62.2516,266.79,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,Hinit,$-H_{init}$,435.98,62.281,433.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,Hinit,$-H_{init}$,301.902,62.2344,300.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,Hinit,$-H_{init}$,352.216,62.2379,349.54,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,Hinit,$-H_{init}$,346.922,62.2463,344.61,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,Hinit,$-H_{init}$,349.876,62.1793,348.65,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,Hinit,$-H_{init}$,338.544,62.2002,337.35,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,Hinit,$-H_{init}$,358.416,62.2759,357.33,10
