Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,LS,$-LS$,356.506,60.0821,349.36,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,LS,$-LS$,241.623,60.0682,241.05,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,LS,$-LS$,380.603,60.0799,379.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,LS,$-LS$,446.372,60.0595,445.69,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,LS,$-LS$,305.238,60.0765,302.49,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,LS,$-LS$,333.561,60.0499,331.74,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,LS,$-LS$,355.511,60.0752,354.72,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,LS,$-LS$,557.38,60.0584,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,LS,$-LS$,360.038,60.0627,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,LS,$-LS$,357.634,60.0927,355.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,LS,$-LS$,251.931,60.0656,251.29,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,LS,$-LS$,261.574,60.1074,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,LS,$-LS$,282.914,60.0968,279.81,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,LS,$-LS$,273.414,60.0621,272.7,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,LS,$-LS$,400.184,60.0765,399.96,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,LS,$-LS$,267.828,60.0647,267.08,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,LS,$-LS$,435.075,60.077,434.57,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,LS,$-LS$,301.272,60.0923,301.08,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,LS,$-LS$,353.179,60.0946,351.28,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,LS,$-LS$,349.783,60.0878,348.24,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,LS,$-LS$,348.296,60.0661,347.99,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,LS,$-LS$,337.865,60.0772,337.08,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,LS,$-LS$,357.339,60.0692,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,LS,$-LS$,397.861,60.0634,397.49,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,LS,$-LS$,439.859,60.0505,435.35,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,LS,$-LS$,337.307,60.0743,335.66,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,LS,$-LS$,362.677,60.0752,360.76,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,LS,$-LS$,272.286,60.068,271.28,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_8.txt,20,320,LS,$-LS$,372.159,60.0478,370.66,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_9.txt,20,320,LS,$-LS$,454.242,60.0784,453.27,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_1.txt,20,320,LS,$-LS$,309.079,60.0943,306.33,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_10.txt,20,320,LS,$-LS$,406.889,60.1037,404.48,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_2.txt,20,320,LS,$-LS$,412.815,60.0976,410.01,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_3.txt,20,320,LS,$-LS$,367.772,60.0494,367.46,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_4.txt,20,320,LS,$-LS$,236.704,60.0683,235.64,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_5.txt,20,320,LS,$-LS$,295.908,60.0615,293.94,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_6.txt,20,320,LS,$-LS$,344.121,60.0705,342.24,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_7.txt,20,320,LS,$-LS$,348.826,60.0674,348.1,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_8.txt,20,320,LS,$-LS$,263.093,60.0654,261.09,10
