Instance,m,n,AvgResult_DG-ALNS_base,AvgResult_DG-ALNS_variant,g,Variant
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,346.552,349.859,0.954257946859334,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,240.734,241.557,0.34187111085263366,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,379.613,380.563,0.2502548648228561,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,445.919,447.124,0.2702284495614766,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,300.398,303.458,1.0186485928667974,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,331.473,332.649,0.3547800273325392,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,354.745,355.823,0.3038802520120015,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,557.38,558.543,0.2086547777100023,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,360.038,360.358,0.08887950716313088,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,355.159,358.756,1.012785822687861,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,251.291,251.844,0.22006359161290986,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,261.628,263.127,0.5729509073952419,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,279.234,280.583,0.4831073579865083,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,272.717,273.382,0.2438425180681881,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,399.943,401.633,0.4225602148306128,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,266.928,270.576,1.3666606725409192,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,433.539,435.98,0.5630404646410199,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,301.111,301.902,0.2626938238722587,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,350.682,352.216,0.4374333441693591,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,344.36,346.922,0.7439888488790835,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,347.868,349.876,0.577230443731525,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,336.993,338.544,0.46024694874967365,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,357.511,358.416,0.2531390642525608,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,397.681,401.005,0.8358458161189528,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,433.863,438.114,0.979802380013962,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,334.956,336.732,0.530218894421957,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,357.769,359.878,0.5894865122467235,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,271.719,272.181,0.1700285957183668,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_8.txt,20,320,370.926,374.194,0.8810382663927654,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.4_9.txt,20,320,452.691,455.568,0.6355328469088207,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_1.txt,20,320,298.671,300.097,0.4774484298776874,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_10.txt,20,320,405.709,406.787,0.26570768703676145,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_2.txt,20,320,406.898,410.305,0.8373105790640363,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_3.txt,20,320,367.575,370.262,0.7310072774263788,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_4.txt,20,320,234.616,237.072,1.0468169263818277,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_5.txt,20,320,292.148,295.51,1.1507865876199619,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_6.txt,20,320,341.914,345.498,1.0482168030557402,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_7.txt,20,320,347.835,349.146,0.3769028418646874,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_8.txt,20,320,260.896,264.042,1.2058444744265753,$-H_{init}$
Inst_m20_n320_pi0.2_TF0.6_R0.6_9.txt,20,320,432.061,439.089,1.626622166777381,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_1.txt,20,320,745.525,747.793,0.3042151503973749,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_10.txt,20,320,924.819,931.27,0.6975418973874912,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_2.txt,20,320,946.481,953.755,0.7685310111877577,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_3.txt,20,320,848.27,851.768,0.41236870336096376,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_4.txt,20,320,656.115,660.258,0.6314441828033239,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_5.txt,20,320,1133.368,1135.187,0.1604950907383974,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_6.txt,20,320,793.669,798.339,0.5884065019548543,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_7.txt,20,320,913.155,918.829,0.6213622002836297,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_8.txt,20,320,1188.785,1192.363,0.30097957157938354,$-H_{init}$
Inst_m20_n320_pi0.5_TF0.4_R0.4_9.txt,20,320,805.948,814.174,1.0206613826202187,$-H_{init}$
