Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,343.814,62.0586,340.59,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,240.75,62.2357,240.06,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,379.82,62.2469,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,446.503,62.2315,445.36,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,299.685,62.2097,298.21,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,332.874,62.2248,331.15,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,354.87,62.2463,353.97,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,557.38,62.2282,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,359.893,62.2366,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,354.795,62.2146,353.95,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,251.326,62.2537,250.78,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,261.827,62.2346,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,279.631,62.2376,277.9,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,272.452,62.2181,271.74,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,399.83,62.2598,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,266.067,62.2357,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,433.633,62.2244,432.69,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,301.416,62.2396,301.08,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,350.789,62.2039,347.93,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,343.806,62.2052,342.74,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,347.821,61.9245,347.68,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,336.831,62.2103,336.3,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,357.541,62.2572,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,397.622,62.2737,396.88,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,432.939,62.2173,430.92,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,334.897,62.2148,334.07,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,356.754,62.197,354.49,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,272.008,62.2012,270.96,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_8.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,370.168,62.2176,369.59,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_9.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,452.689,62.1926,452.18,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_1.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,297.455,62.1799,294.17,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_10.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,406.417,62.2038,404.06,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_2.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,406.749,62.2425,404.88,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_3.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,367.567,62.2273,367.45,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_4.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,234.302,62.2572,233.43,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_5.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,291.886,62.2401,290.21,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_6.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,341.834,62.2048,340.41,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_7.txt,20,320,D5I3I5,$-D_5-I_3-I_5$,348.825,62.158,347.72,10
