Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,D5I5,$-D_5-I_5$,344.525,62.2367,341.7,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,D5I5,$-D_5-I_5$,240.883,62.2471,240.24,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,D5I5,$-D_5-I_5$,379.478,62.2798,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,D5I5,$-D_5-I_5$,445.976,62.2603,445.2,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,D5I5,$-D_5-I_5$,300.23,62.2767,297.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,D5I5,$-D_5-I_5$,332.55,62.275,330.68,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,D5I5,$-D_5-I_5$,354.684,62.2157,353.5,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,D5I5,$-D_5-I_5$,557.38,62.2425,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,D5I5,$-D_5-I_5$,359.721,62.2509,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,D5I5,$-D_5-I_5$,354.973,62.2567,354.17,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,D5I5,$-D_5-I_5$,251.301,62.2586,250.55,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,D5I5,$-D_5-I_5$,261.61,62.251,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,D5I5,$-D_5-I_5$,278.686,62.2644,277.03,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,D5I5,$-D_5-I_5$,272.362,62.267,271.74,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,D5I5,$-D_5-I_5$,400.223,62.2738,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,D5I5,$-D_5-I_5$,266.034,62.2657,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,D5I5,$-D_5-I_5$,433.355,62.2306,432.61,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,D5I5,$-D_5-I_5$,301.314,62.2409,301.08,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,D5I5,$-D_5-I_5$,349.582,62.2733,347.43,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,D5I5,$-D_5-I_5$,343.551,62.268,342.49,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,D5I5,$-D_5-I_5$,347.757,62.1763,347.59,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_10.txt,20,320,D5I5,$-D_5-I_5$,337.004,62.2145,336.55,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_2.txt,20,320,D5I5,$-D_5-I_5$,357.379,62.2438,357.13,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_3.txt,20,320,D5I5,$-D_5-I_5$,397.649,62.25,397.29,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_4.txt,20,320,D5I5,$-D_5-I_5$,432.84,62.1939,430.1,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_5.txt,20,320,D5I5,$-D_5-I_5$,334.888,62.2324,334.55,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_6.txt,20,320,D5I5,$-D_5-I_5$,357.634,62.1743,353.63,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_7.txt,20,320,D5I5,$-D_5-I_5$,271.526,62.2261,270.78,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_8.txt,20,320,D5I5,$-D_5-I_5$,370.153,62.2035,369.46,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_9.txt,20,320,D5I5,$-D_5-I_5$,453.126,62.1972,452.38,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_1.txt,20,320,D5I5,$-D_5-I_5$,297.413,62.1685,295.81,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_10.txt,20,320,D5I5,$-D_5-I_5$,405.706,62.163,404.3,10
Inst_m20_n320_pi0.2_TF0.6_R0.6_2.txt,20,320,D5I5,$-D_5-I_5$,406.275,62.1893,404.03,10
