Instance,m,n,Variant,Variant_Label,AvgResult_DG-ALNS,AvgTime_DG-ALNS,MinResult_DG-ALNS,ValidRuns
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,I3I5,$-I_3-I_5$,345.414,62.285,342.49,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,I3I5,$-I_3-I_5$,240.89,62.2749,240.58,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,I3I5,$-I_3-I_5$,379.661,62.2768,378.86,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,I3I5,$-I_3-I_5$,445.85,62.2745,445.26,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,I3I5,$-I_3-I_5$,300.33,62.2804,298.04,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,I3I5,$-I_3-I_5$,331.798,62.2881,330.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,I3I5,$-I_3-I_5$,354.872,62.2542,354.29,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,I3I5,$-I_3-I_5$,557.38,62.2649,557.38,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,I3I5,$-I_3-I_5$,360.284,62.2717,359.53,10
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,I3I5,$-I_3-I_5$,355.406,62.2589,354.84,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_1.txt,20,320,I3I5,$-I_3-I_5$,251.344,62.2692,250.71,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_10.txt,20,320,I3I5,$-I_3-I_5$,261.661,62.2468,260.94,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_2.txt,20,320,I3I5,$-I_3-I_5$,279.153,62.2622,276.8,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_3.txt,20,320,I3I5,$-I_3-I_5$,272.328,62.3163,271.78,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_4.txt,20,320,I3I5,$-I_3-I_5$,399.875,62.2413,399.65,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_5.txt,20,320,I3I5,$-I_3-I_5$,266.582,62.2333,265.98,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_6.txt,20,320,I3I5,$-I_3-I_5$,434.127,62.2332,433.23,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_7.txt,20,320,I3I5,$-I_3-I_5$,301.329,62.2467,300.66,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_8.txt,20,320,I3I5,$-I_3-I_5$,350.135,62.2337,347.27,10
Inst_m20_n320_pi0.2_TF0.4_R0.6_9.txt,20,320,I3I5,$-I_3-I_5$,343.894,62.2616,342.82,10
Inst_m20_n320_pi0.2_TF0.6_R0.4_1.txt,20,320,I3I5,$-I_3-I_5$,347.808,62.1914,347.69,10
