Variant,ag,Num,Total
$-H_{init}$,0.5920559292137701,153.0,160.0
$-LS$,0.6891037909419674,147.0,160.0
$-D_1$,0.2553277881937497,116.0,160.0
$-D_2$,0.023394788317595422,75.0,160.0
$-D_3$,0.03320861676136007,94.0,160.0
$-D_4$,0.06201835290072133,90.0,160.0
$-D_5$,-0.06228867507457703,52.0,160.0
$-I_1$,0.017894471270543312,88.0,160.0
$-I_2$,0.009128888093364495,75.0,160.0
$-I_3$,-0.006613534261552517,63.0,160.0
$-I_4$,0.03802817001941737,98.0,160.0
$-I_5$,-0.00843677666875419,64.0,160.0
