Instance,m,n,LB_CG,ValidRuns,AvgRuntime_sec,Final_AvgOFV_18mn,Time_2mn_ms,AvgOFV_2mn,MinOFV_2mn,AvgIter_2mn,g_CG_2mn_percent,Time_4mn_ms,AvgOFV_4mn,MinOFV_4mn,AvgIter_4mn,g_CG_4mn_percent,Time_6mn_ms,AvgOFV_6mn,MinOFV_6mn,AvgIter_6mn,g_CG_6mn_percent,Time_8mn_ms,AvgOFV_8mn,MinOFV_8mn,AvgIter_8mn,g_CG_8mn_percent,Time_10mn_ms,AvgOFV_10mn,MinOFV_10mn,AvgIter_10mn,g_CG_10mn_percent,Time_12mn_ms,AvgOFV_12mn,MinOFV_12mn,AvgIter_12mn,g_CG_12mn_percent,Time_14mn_ms,AvgOFV_14mn,MinOFV_14mn,AvgIter_14mn,g_CG_14mn_percent,Time_16mn_ms,AvgOFV_16mn,MinOFV_16mn,AvgIter_16mn,g_CG_16mn_percent,Time_18mn_ms,AvgOFV_18mn,MinOFV_18mn,AvgIter_18mn,g_CG_18mn_percent
Inst_m20_n320_pi0.2_TF0.4_R0.4_1.txt,20,320,312.800000,10,115.329842,343.052000,12800.000000,350.822000,343.480000,64.900000,10.837975,25600.000000,345.974000,342.640000,126.800000,9.588582,38400.000000,345.099000,342.640000,188.700000,9.359343,51200.000000,344.080000,342.640000,249.500000,9.090909,64000.000000,344.061000,342.640000,308.500000,9.085889,76800.000000,343.780000,341.730000,370.700000,9.011577,89600.000000,343.619000,341.730000,429.000000,8.968945,102400.000000,343.271000,341.730000,484.900000,8.876660,115200.000000,343.052000,341.230000,543.800000,8.818488
Inst_m20_n320_pi0.2_TF0.4_R0.4_10.txt,20,320,223.660000,10,115.244140,240.613000,12800.000000,243.133000,241.320000,76.400000,8.009197,25600.000000,241.263000,240.560000,149.800000,7.296187,38400.000000,240.818000,240.280000,221.500000,7.124883,51200.000000,240.693000,240.280000,293.000000,7.076650,64000.000000,240.693000,240.280000,366.700000,7.076650,76800.000000,240.691000,240.280000,438.800000,7.075877,89600.000000,240.614000,240.280000,508.500000,7.046140,102400.000000,240.614000,240.280000,577.800000,7.046140,115200.000000,240.613000,240.280000,652.000000,7.045754
Inst_m20_n320_pi0.2_TF0.4_R0.4_2.txt,20,320,357.310000,10,115.300340,379.652000,12800.000000,381.314000,379.200000,70.500000,6.295074,25600.000000,380.085000,379.200000,142.200000,5.992081,38400.000000,380.003000,379.200000,215.400000,5.971795,51200.000000,379.943000,379.200000,290.000000,5.956946,64000.000000,379.943000,379.200000,363.900000,5.956946,76800.000000,379.888000,379.200000,437.700000,5.943331,89600.000000,379.888000,379.200000,504.800000,5.943331,102400.000000,379.888000,379.200000,575.500000,5.943331,115200.000000,379.652000,379.200000,650.200000,5.884863
Inst_m20_n320_pi0.2_TF0.4_R0.4_3.txt,20,320,421.820000,10,115.274346,446.050000,12800.000000,449.295000,446.060000,77.700000,6.115136,25600.000000,447.007000,445.160000,159.600000,5.634587,38400.000000,446.175000,445.160000,245.100000,5.458620,51200.000000,446.149000,445.160000,330.500000,5.453111,64000.000000,446.098000,445.160000,414.500000,5.442302,76800.000000,446.095000,445.160000,497.300000,5.441666,89600.000000,446.050000,445.160000,578.100000,5.432126,102400.000000,446.050000,445.160000,661.200000,5.432126,115200.000000,446.050000,445.160000,744.800000,5.432126
Inst_m20_n320_pi0.2_TF0.4_R0.4_4.txt,20,320,277.880000,10,115.298935,299.229000,12800.000000,304.924000,300.130000,71.100000,8.869095,25600.000000,302.088000,297.630000,140.700000,8.013559,38400.000000,300.920000,297.630000,213.600000,7.656520,51200.000000,300.172000,297.630000,286.300000,7.426409,64000.000000,299.829000,297.630000,358.700000,7.320506,76800.000000,299.818000,297.630000,430.600000,7.317106,89600.000000,299.436000,297.630000,500.100000,7.198867,102400.000000,299.229000,297.630000,573.400000,7.134669,115200.000000,299.229000,297.630000,644.800000,7.134669
Inst_m20_n320_pi0.2_TF0.4_R0.4_5.txt,20,320,307.740000,10,115.225275,332.422000,12800.000000,334.781000,330.550000,86.800000,8.077221,25600.000000,332.967000,330.540000,169.000000,7.576426,38400.000000,332.726000,330.510000,247.000000,7.509482,51200.000000,332.580000,330.510000,326.200000,7.468880,64000.000000,332.580000,330.510000,403.700000,7.468880,76800.000000,332.519000,330.510000,481.000000,7.451905,89600.000000,332.458000,330.510000,559.300000,7.434924,102400.000000,332.422000,330.510000,636.500000,7.424900,115200.000000,332.422000,330.510000,714.100000,7.424900
Inst_m20_n320_pi0.2_TF0.4_R0.4_6.txt,20,320,327.640000,10,115.263006,354.503000,12800.000000,358.898000,354.210000,79.200000,8.709438,25600.000000,355.776000,354.210000,156.000000,7.908347,38400.000000,355.333000,354.210000,229.700000,7.793535,51200.000000,354.872000,354.210000,304.000000,7.673753,64000.000000,354.709000,354.180000,379.300000,7.631326,76800.000000,354.559000,353.990000,453.100000,7.592248,89600.000000,354.546000,353.990000,527.500000,7.588860,102400.000000,354.526000,353.990000,601.200000,7.583647,115200.000000,354.503000,353.990000,674.200000,7.577651
Inst_m20_n320_pi0.2_TF0.4_R0.4_7.txt,20,320,523.480000,10,115.285385,557.380000,12800.000000,558.620000,557.380000,105.600000,6.290502,25600.000000,557.383000,557.380000,212.300000,6.082532,38400.000000,557.380000,557.380000,315.200000,6.082027,51200.000000,557.380000,557.380000,416.100000,6.082027,64000.000000,557.380000,557.380000,516.100000,6.082027,76800.000000,557.380000,557.380000,619.300000,6.082027,89600.000000,557.380000,557.380000,719.200000,6.082027,102400.000000,557.380000,557.380000,818.500000,6.082027,115200.000000,557.380000,557.380000,919.100000,6.082027
Inst_m20_n320_pi0.2_TF0.4_R0.4_8.txt,20,320,340.180000,10,115.273444,360.292000,12800.000000,360.862000,359.530000,99.100000,5.731277,25600.000000,360.322000,359.530000,209.700000,5.590000,38400.000000,360.292000,359.530000,320.400000,5.582139,51200.000000,360.292000,359.530000,432.600000,5.582139,64000.000000,360.292000,359.530000,544.300000,5.582139,76800.000000,360.292000,359.530000,654.700000,5.582139,89600.000000,360.292000,359.530000,763.900000,5.582139,102400.000000,360.292000,359.530000,874.100000,5.582139,115200.000000,360.292000,359.530000,981.300000,5.582139
Inst_m20_n320_pi0.2_TF0.4_R0.4_9.txt,20,320,330.440000,10,115.263208,354.373000,12800.000000,360.756000,355.450000,80.600000,8.403464,25600.000000,356.839000,355.100000,155.800000,7.398014,38400.000000,355.003000,354.090000,234.300000,6.919096,51200.000000,354.963000,354.090000,310.600000,6.908607,64000.000000,354.831000,354.090000,387.100000,6.873977,76800.000000,354.666000,354.090000,465.500000,6.830652,89600.000000,354.572000,353.890000,542.400000,6.805952,102400.000000,354.431000,353.890000,616.900000,6.768877,115200.000000,354.373000,353.890000,695.000000,6.753618
